"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","teamid","conference_id","player_id","player_url"
"1","2015","Cornell","Ivy League",1,"2","Tatum, Kevin","Sr","OF",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1324528","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1324528"
"2","2015","Cornell","Ivy League",1,"17","Karl, Ryan","Sr","OF",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1547003","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1547003"
"3","2015","Cornell","Ivy League",1,"18","Scorza, Spencer","Sr","INF",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1547004","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1547004"
"4","2015","Cornell","Ivy League",1,"38","Morris, Dan","Sr","INF",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1439156","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439156"
"5","2015","Cornell","Ivy League",1,"8","Padulo, Frankie","So","INF",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1546995","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1546995"
"6","2015","Cornell","Ivy League",1,"27","Winawer, Jordan","Jr","OF",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1439151","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439151"
"7","2015","Cornell","Ivy League",1,"15","Wagner, Tommy","So","INF",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1547005","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1547005"
"8","2015","Cornell","Ivy League",1,"19","Wickham, Dale","Fr","INF",26,1,NA,13.5,0.2,3,1,1,1,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,1,NA,NA,NA,NA,167,865,"1652396","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652396"
"9","2015","Cornell","Ivy League",1,"6","Whetsel, JD","Sr","OF",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1324529","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1324529"
"10","2015","Cornell","Ivy League",1,"4","Hall, Matt","Sr","C",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1329458","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1329458"
"11","2015","Cornell","Ivy League",1,"24","Bitar, Ellis","Fr","C",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652397","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652397"
"12","2015","Cornell","Ivy League",1,"5","Lowell, Eliot","Jr","INF",20,1,NA,27,2,4,6,6,2,1,NA,14,11,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,167,865,"1439148","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439148"
"13","2015","Cornell","Ivy League",1,"3","Smith, Jamie","So","C",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1546996","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1546996"
"14","2015","Cornell","Ivy League",1,"20","Balestrieri, Paul","So","P",15,15,3,4.43,40.2,53,25,20,10,31,NA,184,167,10,1,NA,4,4,5,1,10,5,NA,1,188,51,31,1,NA,4,11,167,865,"1546998","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1546998"
"15","2015","Cornell","Ivy League",1,"40","Le Dorze, Pierre","Fr","OF",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652421","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652421"
"16","2015","Cornell","Ivy League",1,"28","Byrne, Michael","Jr","P",12,10,8,7.32,35.2,45,40,29,19,45,NA,174,146,4,NA,NA,NA,5,2,NA,NA,NA,5,2,150,33,25,1,7,1,20,167,865,"1439152","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439152"
"17","2015","Cornell","Ivy League",1,"32","Busto, Nick","Sr","P",11,11,6,6.27,33,38,24,23,11,26,NA,148,129,8,NA,NA,2,3,5,NA,2,2,3,NA,115,42,24,1,4,1,7,167,865,"1324535","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1324535"
"18","2015","Cornell","Ivy League",1,"22","Upton, Eric","Sr","P",10,10,2,6,33,43,27,22,6,29,NA,154,143,7,3,NA,2,NA,3,1,4,NA,2,NA,225,45,24,2,4,NA,9,167,865,"1324531","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1324531"
"19","2015","Cornell","Ivy League",1,"35","Baur, Trey","Fr","INF",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652419","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652419"
"20","2015","Cornell","Ivy League",1,"13","Urbon, Kellen","Jr","P",9,9,9,2.36,45.2,48,22,12,11,32,1,195,179,12,NA,1,NA,3,2,NA,NA,NA,2,1,207,52,40,2,4,NA,13,167,865,"1332286","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1332286"
"21","2015","Cornell","Ivy League",1,"16","Lewis, Justin","Fr","P",8,8,NA,12.6,15,23,21,21,10,10,NA,79,64,3,2,NA,1,2,3,NA,5,1,1,1,53,15,17,NA,1,NA,3,167,865,"1652395","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652395"
"22","2015","Cornell","Ivy League",1,"25","Weston, Jacob","So","OF",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1546999","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1546999"
"23","2015","Cornell","Ivy League",1,"30","Recto, Eason","Fr","OF",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652418","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652418"
"24","2015","Cornell","Ivy League",1,"31","McGee, Collin","Jr","C",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1439154","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439154"
"25","2015","Cornell","Ivy League",1,"39","Lannoo, Peter","Fr","P",6,6,NA,2.61,10.1,10,3,3,1,10,NA,41,38,2,1,NA,NA,2,NA,NA,12,6,2,NA,70,13,6,NA,NA,NA,4,167,865,"1652420","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652420"
"26","2015","Cornell","Ivy League",1,"33","Suppa, Roberto","Sr","P",5,5,1,14.4,10,20,18,16,14,12,NA,65,49,4,1,NA,1,3,2,NA,NA,NA,NA,NA,43,12,5,NA,1,NA,5,167,865,"1324534","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1324534"
"27","2015","Cornell","Ivy League",1,"37","Brewer, Ray","So","P",5,5,NA,2.19,12.1,16,8,3,3,11,NA,57,49,1,NA,NA,1,3,4,NA,4,3,1,NA,79,12,9,1,NA,NA,4,167,865,"1547001","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1547001"
"28","2015","Cornell","Ivy League",1,"26","McCulley, Zach","Sr","P",4,4,2,7.3,12.1,17,10,10,4,11,NA,57,51,7,NA,NA,2,1,1,NA,1,NA,1,NA,134,7,17,NA,1,NA,6,167,865,"1652392","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652392"
"29","2015","Cornell","Ivy League",1,"12","Veenema, Ryne","So","P",3,3,NA,18,5,9,10,10,4,2,NA,30,20,2,NA,NA,1,1,5,NA,5,NA,NA,1,NA,9,1,NA,NA,NA,NA,167,865,"1546997","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1546997"
"30","2015","Cornell","Ivy League",1,"21","Horton, Matt","Jr","P",3,3,NA,27,1,4,5,3,2,1,NA,11,6,NA,NA,NA,NA,NA,1,1,3,2,1,NA,15,NA,1,NA,2,NA,NA,167,865,"1439149","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439149"
"31","2015","Cornell","Ivy League",1,"7","Soltis, Scott","So","P",1,1,NA,54,0.2,1,4,4,3,1,NA,6,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,25,NA,1,NA,1,NA,NA,167,865,"1546994","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1546994"
"32","2015","Cornell","Ivy League",1,"-","Totals","-","-",NA,NA,NA,5.54,313.1,377,239,193,107,260,4,NA,NA,67,8,1,18,29,36,3,NA,NA,20,8,NA,369,252,NA,NA,NA,100,167,865,NA,NA
"33","2015","Cornell","Ivy League",1,"-","Opponent Totals","-","-",NA,NA,NA,4,323.2,303,172,144,130,249,2,NA,NA,68,5,1,6,32,26,NA,NA,NA,9,9,NA,345,329,NA,NA,NA,88,167,865,NA,NA
